Summary of the properties of the SDSS/DR16 quasars included in the classification. 
We list: 
1. the quasar name in the SDSS convention
2. the right ascension (deg.)
3. the declination (deg.) 
4. the quasar redshift from the SDSS pipeline 
5. the S/N measured at 1150A in the quasar rest-frame
6. a flag indicating if the quasar is a ``Science Primary" observation (Y or N)
7. a flag indicating if the quasar is included in the training set (Y or N)
8. a flag describing the outcome of the classification (1: quasar with LLS; 2: quasar without LLS; 4: non quasar)
9. the measured redshift of the LLS. 

--
1                     2         3          4      5   6 7 8 9
spec-10735-58258-0150 235.46602 37.3908890 3.649  3.3 N Y 1 3.619
spec-10735-58258-0417 234.28380 37.1533810 3.814  2.3 N Y 2 0.000
spec-10735-58258-0459 233.87412 37.1411900 3.763  2.9 N Y 2 0.000
spec-10735-58258-0986 236.66523 38.2796060 3.578  3.4 Y Y 2 0.000
spec-10736-58274-0098 238.41355 36.8180210 3.982  4.8 Y Y 1 3.722
spec-10737-58254-0906 241.08556 38.3906760 3.569 19.9 Y Y 1 3.279
spec-10737-58254-0912 241.16056 38.3067970 3.591 12.3 Y Y 1 3.316
spec-10737-58254-0984 242.05777 37.7909360 3.991 10.4 Y Y 2 0.000
spec-10738-58251-0686 241.54996 35.7061950 3.992  5.2 Y Y 2 0.000
spec-10738-58251-0720 241.56841 36.1464730 3.636  3.8 N Y 2 0.000
spec-10739-58255-0689 238.85652 36.3846620 3.755  5.2 Y Y 2 0.000
spec-10739-58255-0946 240.35906 36.4352740 3.833  2.4 Y Y 2 0.000
spec-10739-58255-0960 240.08021 36.1359290 3.531 10.3 Y Y 1 3.364
spec-10740-58223-0307 236.09978 35.2889930 3.793  3.2 Y Y 2 0.000
spec-10740-58223-0748 236.33743 36.5731410 3.840  4.1 Y Y 1 3.700
spec-10741-58230-0318 231.80718 37.9323230 3.987  3.1 N Y 1 3.806
spec-10741-58230-0554 230.66162 38.6000470 3.933  2.5 Y Y 1 3.910
spec-10742-58198-0553 232.43507 36.4878820 3.579  4.0 Y Y 1 3.510
spec-10744-58199-0730 230.93319 36.1701240 3.827  3.7 N Y 1 3.784
spec-10745-58277-0155 227.06040 37.7557630 3.517  4.3 Y Y 1 3.306
spec-10745-58277-0513 224.96542 38.6489820 3.720  6.0 Y Y 1 3.619
spec-10745-58277-0682 226.34262 38.9477250 3.525  1.3 N Y 1 3.870
spec-10745-58501-0155 227.06040 37.7557630 3.516  3.5 N Y 1 3.300
spec-10745-58501-0551 224.96542 38.6489820 3.722  6.4 N Y 1 3.625
spec-10745-58501-0706 226.34262 38.9477250 3.525  1.5 Y Y 2 0.000
spec-10746-58257-0270 228.12434 35.2726860 3.639  3.7 Y Y 1 3.391
spec-10746-58257-0609 227.77966 36.7362140 3.710  4.4 Y Y 2 0.000
spec-10747-58220-0806 225.58956 36.0102680 3.690  5.3 N Y 2 0.000
spec-10747-58220-0876 226.08487 36.2820470 3.838  4.4 Y Y 2 0.000
spec-10748-58224-0076 224.41428 37.5009290 3.881  7.4 Y Y 1 3.869
spec-10748-58224-0098 224.41603 37.0549600 3.666  9.3 Y Y 1 3.594
spec-10748-58224-0461 222.29741 37.1261140 3.579 18.2 Y Y 1 3.547
spec-10748-58224-0926 224.41469 38.1549230 3.906  6.6 Y Y 2 0.000
spec-10748-58224-0990 225.20996 38.1612080 3.648  7.9 Y Y 2 0.000
spec-10749-58485-0255 219.33024 39.1756020 3.556  3.7 Y Y 2 0.000
spec-10749-58485-0882 219.97459 40.5064310 3.814  4.7 Y Y 2 0.000
spec-10750-58199-0322 220.67236 37.0961770 3.743  4.5 N Y 1 3.619
spec-10750-58199-0966 222.12070 38.1855840 3.519  8.7 Y Y 2 0.000
spec-10752-58488-0102 217.00566 39.2065030 3.502 19.6 Y Y 2 0.000
spec-10752-58488-0194 216.60863 39.5589040 3.766 12.3 Y Y 1 3.763
spec-10752-58488-0347 215.86034 39.2072930 3.923  3.3 N Y 1 3.921
spec-10752-58488-0437 215.36050 39.7318670 3.742  4.8 Y Y 1 3.576
spec-10753-58242-0536 216.56293 37.6604560 3.702  2.1 N Y 1 3.461
spec-10754-58224-0278 219.65674 35.4660590 3.733  2.9 N Y 1 3.661
spec-10754-58224-0606 218.98209 35.9455230 3.704  3.4 N Y 1 3.602
spec-10754-58224-0894 220.59098 35.7508420 3.694  5.8 Y Y 1 3.473
spec-10756-58226-0226 215.51333 36.9335290 3.902  1.8 Y Y 2 0.000
spec-10756-58226-0826 215.68521 38.3918630 3.735 23.8 Y Y 2 0.000
spec-10757-58223-0482 215.81796 34.8508980 3.810  2.2 N Y 2 0.000
spec-10757-58223-0616 216.44770 35.4554750 3.527 11.1 Y Y 1 3.512
spec-10757-58223-0874 217.80924 36.3734710 3.556  7.8 Y Y 1 3.559
spec-10758-58220-0618 213.74954 35.5609570 3.642  1.8 N Y 2 0.000
spec-10759-58526-0090 212.23357 37.4628780 3.686  2.0 Y Y 2 0.000
spec-10760-58224-0490 210.85385 36.2962380 3.980  1.5 N Y 1 3.710
spec-10760-58224-0788 212.72304 37.5505540 3.598 11.5 Y Y 2 0.000
spec-10760-58224-0951 213.93157 37.5073600 3.907  2.4 N Y 1 3.831
spec-10761-58283-0327 255.51561 37.5578170 3.615  3.2 Y Y 1 3.637
spec-10761-58283-0480 254.55783 38.4285010 3.591  3.4 Y Y 1 3.678
spec-10761-58283-0505 254.11259 39.5487490 3.541  4.4 Y Y 2 0.000
spec-10761-58283-0641 255.23023 39.5563780 3.572  0.0 Y Y 4 0.000
spec-10761-58283-0758 255.79584 39.6409440 3.536 20.3 Y Y 2 0.000
spec-10762-58390-0094 261.39974 36.8898170 3.959  4.9 Y Y 1 3.925
spec-10762-58390-0501 258.59733 37.3806090 3.838  0.0 N Y 4 0.000
spec-10762-58390-0519 258.55482 37.3771720 3.970  0.0 Y Y 4 0.000
spec-10762-58390-0521 258.75879 37.9967770 3.846  0.0 Y Y 4 0.000
spec-10762-58390-0522 258.74164 37.9743830 3.942  0.0 Y Y 4 0.000
spec-10762-58390-0541 259.23987 38.6999130 3.832  0.0 Y Y 4 0.000
spec-10762-58390-0550 259.15908 38.4151700 3.819  0.0 Y Y 4 0.000
spec-10762-58390-0572 259.39116 37.9319190 3.864  0.0 Y Y 4 0.000
spec-10762-58390-0629 259.85981 38.4457210 3.893  0.0 Y Y 4 0.000
spec-10762-58390-0757 260.35527 38.4741240 3.724 14.6 Y Y 2 0.000
spec-10762-58390-0795 260.66552 38.3413920 3.655  7.0 Y Y 1 3.625
spec-10763-58395-0470 257.46771 39.0785360 3.711 21.3 Y Y 2 0.000
spec-10902-58396-0292 256.30039 33.6062190 3.632  7.6 N Y 1 3.621
spec-10902-58396-0907 257.30326 35.6813110 3.626 10.0 Y Y 1 3.175
spec-10904-58402-0202 258.31419 31.4874740 3.604 10.0 Y Y 2 0.000
spec-10904-58402-0452 257.07149 31.7868960 3.824  3.5 N Y 1 3.611
spec-10908-58392-0436 252.46087 34.4643790 3.774 14.1 Y Y 1 3.473
spec-10908-58392-0501 251.86689 34.8689730 3.812  0.0 Y Y 4 0.000
spec-10908-58392-0516 251.92315 34.5988920 3.819  0.0 Y Y 4 0.000
spec-10908-58392-0518 251.65731 34.5221640 3.848  0.0 Y Y 4 0.000
spec-10908-58392-0521 252.05717 34.9075870 3.809  0.0 Y Y 4 0.000
spec-10908-58392-0526 252.10427 34.7901670 3.814  0.0 Y Y 4 0.000
spec-10908-58392-0532 252.15592 34.7054700 3.844  0.0 Y Y 4 0.000
spec-10908-58392-0538 252.15789 34.5610080 3.841  0.0 Y Y 4 0.000
spec-10908-58392-0563 252.35620 34.8939190 3.887  0.0 Y Y 4 0.000
spec-10908-58392-0571 252.34030 34.7631900 3.877  0.0 Y Y 4 0.000
spec-10908-58392-0579 252.40804 34.5449980 3.847  0.0 Y Y 4 0.000
spec-10908-58392-0580 252.25900 34.6025780 3.852  0.0 Y Y 4 0.000
spec-10908-58392-0581 252.50904 35.7740140 3.852  0.0 Y Y 4 0.000
spec-10908-58392-0597 252.41090 35.0217280 3.886  0.0 Y Y 4 0.000
spec-10908-58392-0610 252.49644 34.8270210 3.890  0.0 Y Y 4 0.000
spec-10909-58280-0755 253.50876 31.6665640 3.744  3.9 Y Y 2 0.000
spec-10910-58254-0145 247.64226 34.5309670 3.709  6.5 Y Y 1 3.375
spec-10910-58254-0521 245.72218 35.3413240 3.639 11.2 Y Y 1 3.496
spec-10910-58254-0540 245.81028 34.7960210 3.575  5.4 Y Y 1 3.583
spec-10911-58256-0855 250.40419 34.7901790 3.938  2.8 Y Y 1 3.929
spec-10912-58253-0096 244.12828 32.3372210 3.912  4.8 N Y 1 3.801
spec-10912-58253-0122 243.96240 31.8558720 3.504  0.0 Y Y 4 0.000
spec-10912-58253-0413 242.27152 32.1884250 3.509  9.8 Y Y 2 0.000
